Component,Origin,License,Copyright
ruff,https://github.com/astral-sh/ruff,MIT,Copyright (c) 2022 Charlie Marsh
pytest,https://github.com/pytest-dev/pytest,MIT,Copyright (c) 2004 Holger Krekel and others
